Timestamp,Date,Time,Actitivty,Percentage
1511542519,11/24/2017,9:55 PM,On foot,0.31
1511542519,11/24/2017,9:55 PM,Walking,0.31
1511542519,11/24/2017,9:55 PM,Still,0.21
1511542519,11/24/2017,9:55 PM,Unknown Activity,0.21
1511542519,11/24/2017,9:55 PM,In a vehicle,0.09
1511542519,11/24/2017,9:55 PM,On a bicycle,0.06
1511542519,11/24/2017,9:55 PM,Running,0.05
1511542558,11/24/2017,9:55 PM,Still,0.29
1511542558,11/24/2017,9:55 PM,On foot,0.19
1511542558,11/24/2017,9:55 PM,Walking,0.19
1511542558,11/24/2017,9:55 PM,Unknown Activity,0.18
1511542558,11/24/2017,9:55 PM,In a vehicle,0.13
1511542558,11/24/2017,9:55 PM,On a bicycle,0.05
1511542558,11/24/2017,9:55 PM,Running,0.04
1511542584,11/24/2017,9:56 PM,On foot,0.28
1511542584,11/24/2017,9:56 PM,Walking,0.28
1511542584,11/24/2017,9:56 PM,Unknown Activity,0.22
1511542584,11/24/2017,9:56 PM,Still,0.21
1511542584,11/24/2017,9:56 PM,In a vehicle,0.1
1511542584,11/24/2017,9:56 PM,On a bicycle,0.06
1511542584,11/24/2017,9:56 PM,Running,0.05
1511542588,11/24/2017,9:56 PM,On foot,0.82
1511542588,11/24/2017,9:56 PM,Walking,0.82
1511542588,11/24/2017,9:56 PM,Still,0.07
1511542588,11/24/2017,9:56 PM,In a vehicle,0.04
1511542588,11/24/2017,9:56 PM,Unknown Activity,0.03
1511542593,11/24/2017,9:56 PM,On foot,0.75
1511542593,11/24/2017,9:56 PM,Walking,0.75
1511542593,11/24/2017,9:56 PM,Still,0.12
1511542593,11/24/2017,9:56 PM,In a vehicle,0.05
1511542593,11/24/2017,9:56 PM,Unknown Activity,0.04
1511542615,11/24/2017,9:56 PM,Tilting,1
1511542615,11/24/2017,9:56 PM,Still,0.72
1511542615,11/24/2017,9:56 PM,On foot,0.14
1511542615,11/24/2017,9:56 PM,Walking,0.14
1511542615,11/24/2017,9:56 PM,In a vehicle,0.06
1511542615,11/24/2017,9:56 PM,Unknown Activity,0.02
1511542615,11/24/2017,9:56 PM,On a bicycle,0.01
1511542619,11/24/2017,9:56 PM,Still,1
1511542649,11/24/2017,9:57 PM,Tilting,1
1511542649,11/24/2017,9:57 PM,Unknown Activity,0.31
1511542649,11/24/2017,9:57 PM,Still,0.27
1511542649,11/24/2017,9:57 PM,In a vehicle,0.09
1511542649,11/24/2017,9:57 PM,On foot,0.09
1511542649,11/24/2017,9:57 PM,Walking,0.09
1511542649,11/24/2017,9:57 PM,On a bicycle,0.08
1511542649,11/24/2017,9:57 PM,Running,0.08
1511543035,11/24/2017,10:03 PM,Still,0.47
1511543035,11/24/2017,10:03 PM,Unknown Activity,0.22
1511543035,11/24/2017,10:03 PM,On foot,0.08
1511543035,11/24/2017,10:03 PM,Walking,0.08
1511543035,11/24/2017,10:03 PM,In a vehicle,0.07
1511543035,11/24/2017,10:03 PM,On a bicycle,0.06
1511543035,11/24/2017,10:03 PM,Running,0.05
1511543039,11/24/2017,10:03 PM,Still,0.87
1511543039,11/24/2017,10:03 PM,On foot,0.07
1511543039,11/24/2017,10:03 PM,Walking,0.07
1511543039,11/24/2017,10:03 PM,Unknown Activity,0.03
1511543039,11/24/2017,10:03 PM,In a vehicle,0.01
1511543039,11/24/2017,10:03 PM,On a bicycle,0.01
1511543044,11/24/2017,10:04 PM,Still,0.88
1511543044,11/24/2017,10:04 PM,On foot,0.04
1511543044,11/24/2017,10:04 PM,Walking,0.04
1511543044,11/24/2017,10:04 PM,Unknown Activity,0.03
1511543044,11/24/2017,10:04 PM,In a vehicle,0.02
1511543044,11/24/2017,10:04 PM,On a bicycle,0.01
1511543048,11/24/2017,10:04 PM,Still,0.48
1511543048,11/24/2017,10:04 PM,In a vehicle,0.22
1511543048,11/24/2017,10:04 PM,On foot,0.17
1511543048,11/24/2017,10:04 PM,Walking,0.17
