TimeStamp,Date,Time,Known Location,City,Accuracy
1511542681,11/24/2017,9:58:01 PM,Street 14,Islamabad,21.22999954
1511542688,11/24/2017,9:58:08 PM,Street 14,Islamabad,21.67099953
1511542694,11/24/2017,9:58:14 PM,Street 14,Islamabad,21.85899925
1511542713,11/24/2017,9:58:33 PM,Street 14,Islamabad,21.82699966
1511542733,11/24/2017,9:58:53 PM,Street 14,Islamabad,20.39999962
1511542884,11/24/2017,10:01:24 PM,Street 14,Islamabad,21.52199936
1511542945,11/24/2017,10:02:25 PM,Street 14,Islamabad,20.89999962
1511543307,11/24/2017,10:08:27 PM,Street 14,Islamabad,21.82299995
1511543531,11/24/2017,10:12:11 PM,Street 14,Islamabad,21.90299988
1511543551,11/24/2017,10:12:31 PM,Street 14,Islamabad,21.9489994
1511543570,11/24/2017,10:12:50 PM,Street 14,Islamabad,21.67000008
1511543712,11/24/2017,10:15:12 PM,Street 14,Islamabad,21.85199928
1511543833,11/24/2017,10:17:13 PM,Street 14,Islamabad,21.4489994
1511544193,11/24/2017,10:23:13 PM,Street 14,Islamabad,20.89999962
1511544553,11/24/2017,10:29:13 PM,Street 14,Islamabad,21.88199997
1511544928,11/24/2017,10:35:28 PM,Street 14,Islamabad,21.61499977
1511545329,11/24/2017,10:42:09 PM,Street 14,Islamabad,21.6760006
1511545705,11/24/2017,10:48:25 PM,Street 14,Islamabad,21.61000061
1511546065,11/24/2017,10:54:25 PM,Street 14,Islamabad,23.60000038
1511546426,11/24/2017,11:00:26 PM,Street 14,Islamabad,21.61100006
1511546890,11/24/2017,11:08:10 PM,Street 14,Islamabad,21.20299911
1511547251,11/24/2017,11:14:11 PM,Street 14,Islamabad,20.88800049
1511547611,11/24/2017,11:20:11 PM,Street 14,Islamabad,21.14999962
1511547971,11/24/2017,11:26:11 PM,Street 14,Islamabad,21.44300079
1511548380,11/24/2017,11:33:00 PM,Street 14,Islamabad,21.875
1511548751,11/24/2017,11:39:11 PM,Street 14,Islamabad,21.37599945
1511548872,11/24/2017,11:41:12 PM,Street 14,Islamabad,21.73699951
1511549112,11/24/2017,11:45:12 PM,Street 14,Islamabad,20.39999962
1511549299,11/24/2017,11:48:19 PM,Street 14,Islamabad,21.71299934
1511549490,11/24/2017,11:51:30 PM,Street 14,Islamabad,21.45000076
1511549850,11/24/2017,11:57:30 PM,Street 14,Islamabad,21.25399971
1511550092,11/25/2017,12:01:32 AM,Street 14,Islamabad,21.67399979
1511550112,11/25/2017,12:01:52 AM,Street 14,Islamabad,20.89999962
1511550132,11/25/2017,12:02:12 AM,Street 14,Islamabad,20.89699936
1511550274,11/25/2017,12:04:34 AM,Street 14,Islamabad,21.78199959
1511550636,11/25/2017,12:10:36 AM,Street 14,Islamabad,20
1511550756,11/25/2017,12:12:36 AM,Street 14,Islamabad,21.46699905
1511550940,11/25/2017,12:15:40 AM,Street 14,Islamabad,21.8239994
1511551300,11/25/2017,12:21:40 AM,Street 14,Islamabad,32.09999847
1511551536,11/25/2017,12:25:36 AM,Street 14,Islamabad,21.15099907
1511551735,11/25/2017,12:28:55 AM,Street 14,Islamabad,21.91399956
1511551755,11/25/2017,12:29:15 AM,Street 14,Islamabad,21.88199997
1511551775,11/25/2017,12:29:35 AM,Street 14,Islamabad,21.9489994
1511551800,11/25/2017,12:30:00 AM,Street 14,Islamabad,34.40000153
1511552161,11/25/2017,12:36:01 AM,Street 14,Islamabad,21.625
1511552521,11/25/2017,12:42:01 AM,Street 14,Islamabad,21.73200035
1511552907,11/25/2017,12:48:27 AM,Street 14,Islamabad,20.10000038
1511553337,11/25/2017,12:55:37 AM,Street 14,Islamabad,21.56500053
1511553512,11/25/2017,12:58:32 AM,Street 14,Islamabad,21.38800049
1511553641,11/25/2017,1:00:41 AM,Street 14,Islamabad,21.78700066
1511553843,11/25/2017,1:04:03 AM,Street 14,Islamabad,21.37299919
1511554081,11/25/2017,1:08:01 AM,Street 14,Islamabad,21.29599953
1511554455,11/25/2017,1:14:15 AM,Street 14,Islamabad,21.6079998
1511554530,11/25/2017,1:15:30 AM,Street 14,Islamabad,21.74799919
1511597636,11/25/2017,1:13:56 PM,Street 14,Islamabad,21.7329998
1511597656,11/25/2017,1:14:16 PM,Street 14,Islamabad,21.17900085
1511597676,11/25/2017,1:14:36 PM,Street 14,Islamabad,21.5189991
1511597951,11/25/2017,1:19:11 PM,Street 14,Islamabad,26.39999962
1511598326,11/25/2017,1:25:26 PM,Street 14,Islamabad,21.16900063
1511598696,11/25/2017,1:31:36 PM,Street 14,Islamabad,21.22200012
1511613971,11/25/2017,5:46:11 PM,Service Road North,Islamabad,1399.999023
1511614104,11/25/2017,5:48:24 PM,Street 14,Islamabad,21.83699989
1511614475,11/25/2017,5:54:35 PM,Street 14,Islamabad,22.54000092
1511614834,11/25/2017,6:00:34 PM,Street 14,Islamabad,21.50600052
1511615557,11/25/2017,6:12:37 PM,Street 14,Islamabad,21.45000076
1511615918,11/25/2017,6:18:38 PM,Street 14,Islamabad,20
1511616278,11/25/2017,6:24:38 PM,Street 14,Islamabad,21.03000069
1511616639,11/25/2017,6:30:39 PM,Street 14,Islamabad,21.5739994
1511616999,11/25/2017,6:36:39 PM,Street 14,Islamabad,21.52199936
1511617361,11/25/2017,6:42:41 PM,Street 14,Islamabad,21.04299927
1511617721,11/25/2017,6:48:41 PM,Street 14,Islamabad,21.69400024
1511618082,11/25/2017,6:54:42 PM,Street 14,Islamabad,20
1511618479,11/25/2017,7:01:19 PM,Street 14,Islamabad,21.16600037
1511618839,11/25/2017,7:07:19 PM,Street 14,Islamabad,20
1511619229,11/25/2017,7:13:49 PM,Street 14,Islamabad,21.18300056
1511619592,11/25/2017,7:19:52 PM,Street 14,Islamabad,21.45599937
1511619954,11/25/2017,7:25:54 PM,Street 14,Islamabad,21.54100037
1511620317,11/25/2017,7:31:57 PM,Street 14,Islamabad,21.44099998
1511620679,11/25/2017,7:37:59 PM,Street 14,Islamabad,21.52199936
1511621041,11/25/2017,7:44:01 PM,Street 14,Islamabad,21.11499977
1511621220,11/25/2017,7:47:00 PM,Street 14,Islamabad,21.67499924
1511621398,11/25/2017,7:49:58 PM,Street 14,Islamabad,21.62700081
1511621521,11/25/2017,7:52:01 PM,Street 14,Islamabad,21.04500008
1511621717,11/25/2017,7:55:17 PM,Street 14,Islamabad,21.83200073
1511622031,11/25/2017,8:00:31 PM,Street 14,Islamabad,21.19300079
1511622393,11/25/2017,8:06:33 PM,Street 14,Islamabad,21.18799973
1511622513,11/25/2017,8:08:33 PM,Street 14,Islamabad,20
1511622902,11/25/2017,8:15:02 PM,Street 14,Islamabad,20
1511623281,11/25/2017,8:21:21 PM,Street 14,Islamabad,21.24300003
1511623641,11/25/2017,8:27:21 PM,Street 14,Islamabad,21.56999969
1511624083,11/25/2017,8:34:43 PM,Service Road North,Islamabad,1399.999023
1511628098,11/25/2017,9:41:38 PM,Service Road North,Islamabad,1399.999023
1511628374,11/25/2017,9:46:14 PM,Street 14,Islamabad,22.42200089
1511628752,11/25/2017,9:52:32 PM,Service Road North,Islamabad,1399.999023
1511629005,11/25/2017,9:56:45 PM,Service Road North,Islamabad,1399.999023
1511629022,11/25/2017,9:57:02 PM,Street 14,Islamabad,21.60000038
1511629293,11/25/2017,10:01:33 PM,Street 14,Islamabad,21.38100052
1511629654,11/25/2017,10:07:34 PM,Street 14,Islamabad,21.22599983
1511630014,11/25/2017,10:13:34 PM,Street 14,Islamabad,21.39599991
1511630375,11/25/2017,10:19:35 PM,Street 14,Islamabad,21.4489994
1511630496,11/25/2017,10:21:36 PM,Street 14,Islamabad,20.89999962
1511630857,11/25/2017,10:27:37 PM,Street 14,Islamabad,21.41799927
