Mobile State,Time,Date
Off,9:55:34 PM,11/24/2017
On,9:55:34 PM,11/24/2017
Off,9:56:14 PM,11/24/2017
On,9:56:15 PM,11/24/2017
Off,9:59:06 PM,11/24/2017
On,9:59:06 PM,11/24/2017
Off,9:59:19 PM,11/24/2017
On,9:59:23 PM,11/24/2017
Off,10:00:56 PM,11/24/2017
On,10:03:34 PM,11/24/2017
On,10:12:33 PM,11/24/2017
Off,10:12:39 PM,11/24/2017
On,10:12:39 PM,11/24/2017
Off,12:30:28 AM,11/25/2017
On,12:45:29 AM,11/25/2017
Off,12:45:33 AM,11/25/2017
On,12:45:33 AM,11/25/2017
Off,12:45:46 AM,11/25/2017
On,12:45:49 AM,11/25/2017
Off,12:46:05 AM,11/25/2017
On,12:53:07 AM,11/25/2017
Off,1:17:25 PM,11/25/2017
On,1:25:00 PM,11/25/2017
Off,1:25:16 PM,11/25/2017
On,1:26:32 PM,11/25/2017
Off,1:28:19 PM,11/25/2017
On,1:29:01 PM,11/25/2017
Off,1:29:04 PM,11/25/2017
On,1:30:59 PM,11/25/2017
Off,10:33:49 PM,11/29/2017
On,10:47:01 PM,11/29/2017
Off,10:47:51 PM,11/29/2017
On,10:48:08 PM,11/29/2017
Off,10:48:38 PM,11/29/2017
On,10:49:21 PM,11/29/2017
Off,10:49:48 PM,11/29/2017
On,10:49:52 PM,11/29/2017
Off,10:49:55 PM,11/29/2017
On,10:51:03 PM,11/29/2017
Off,10:51:13 PM,11/29/2017
On,10:51:50 PM,11/29/2017
Off,10:52:32 PM,11/29/2017
On,10:55:34 PM,11/29/2017
Off,10:56:07 PM,11/29/2017
On,10:56:19 PM,11/29/2017
Off,10:57:05 PM,11/29/2017
On,10:59:25 PM,11/29/2017
Off,11:00:24 PM,11/29/2017
On,11:31:54 PM,11/29/2017
Off,11:31:58 PM,11/29/2017
On,11:35:26 PM,11/29/2017
Off,11:36:02 PM,11/29/2017
On,11:36:05 PM,11/29/2017
Off,11:39:05 PM,11/29/2017
On,11:39:05 PM,11/29/2017
Off,11:39:11 PM,11/29/2017
On,11:39:11 PM,11/29/2017
Off,11:39:14 PM,11/29/2017
On,11:39:14 PM,11/29/2017
Off,11:39:16 PM,11/29/2017
On,11:39:17 PM,11/29/2017
Off,11:39:43 PM,11/29/2017
On,11:40:34 PM,11/29/2017
Off,11:40:41 PM,11/29/2017
On,11:40:42 PM,11/29/2017
Off,11:41:14 PM,11/29/2017
On,11:41:23 PM,11/29/2017
Off,11:42:54 PM,11/29/2017
On,11:43:17 PM,11/29/2017
Off,11:43:24 PM,11/29/2017
On,11:47:46 PM,11/29/2017
Off,11:48:14 PM,11/29/2017
On,11:50:35 PM,11/29/2017
Off,11:51:11 PM,11/29/2017
On,11:59:15 PM,11/29/2017
Off,12:03:14 AM,11/30/2017
On,12:03:18 AM,11/30/2017
Off,12:03:33 AM,11/30/2017
On,12:21:04 AM,11/30/2017
Off,12:22:48 AM,11/30/2017
On,12:25:01 AM,11/30/2017
Off,12:25:36 AM,11/30/2017
On,12:25:47 AM,11/30/2017
Off,12:26:23 AM,11/30/2017
On,12:27:59 AM,11/30/2017
Off,12:28:04 AM,11/30/2017
On,12:29:57 AM,11/30/2017
Off,12:31:35 AM,11/30/2017
On,12:35:53 AM,11/30/2017
Off,12:35:57 AM,11/30/2017
On,12:49:13 AM,11/30/2017
Off,12:49:31 AM,11/30/2017
On,12:52:51 AM,11/30/2017
Off,12:53:53 AM,11/30/2017
On,12:55:31 AM,11/30/2017
Off,12:56:26 AM,11/30/2017
On,1:25:46 AM,11/30/2017
Off,1:25:51 AM,11/30/2017
On,1:45:39 AM,11/30/2017
Off,11:34:57 AM,11/25/2017
On,11:35:28 AM,11/25/2017
Off,11:36:32 AM,11/25/2017
On,11:36:32 AM,11/25/2017
Off,11:42:18 AM,11/25/2017
Off,11:58:03 AM,11/25/2017
On,11:58:06 AM,11/25/2017
Off,11:58:59 AM,11/25/2017
On,11:59:00 AM,11/25/2017
Off,11:59:03 AM,11/25/2017
On,11:59:05 AM,11/25/2017
Off,11:59:12 AM,11/25/2017
On,11:59:12 AM,11/25/2017
Off,11:59:19 AM,11/25/2017
On,11:59:20 AM,11/25/2017
Off,11:59:21 AM,11/25/2017
On,11:59:22 AM,11/25/2017
Off,11:59:24 AM,11/25/2017
On,11:59:30 AM,11/25/2017
Off,11:59:31 AM,11/25/2017
On,11:59:32 AM,11/25/2017
Off,11:59:33 AM,11/25/2017
On,11:59:55 AM,11/25/2017
Off,11:59:57 AM,11/25/2017
On,12:00:03 PM,11/25/2017
Off,12:00:05 PM,11/25/2017
On,12:00:06 PM,11/25/2017
Off,12:00:07 PM,11/25/2017
On,12:00:08 PM,11/25/2017
Off,12:00:08 PM,11/25/2017
On,12:00:18 PM,11/25/2017
Off,12:00:19 PM,11/25/2017
On,12:00:19 PM,11/25/2017
Off,12:00:27 PM,11/25/2017
On,12:00:32 PM,11/25/2017
Off,12:00:33 PM,11/25/2017
On,12:00:34 PM,11/25/2017
Off,12:00:35 PM,11/25/2017
On,12:00:58 PM,11/25/2017
Off,12:00:59 PM,11/25/2017
On,12:01:01 PM,11/25/2017
Off,12:01:02 PM,11/25/2017
On,12:01:09 PM,11/25/2017
Off,12:01:09 PM,11/25/2017
On,12:01:17 PM,11/25/2017
Off,12:01:17 PM,11/25/2017
On,12:01:25 PM,11/25/2017
Off,12:01:25 PM,11/25/2017
On,12:01:25 PM,11/25/2017
Off,12:01:27 PM,11/25/2017
On,12:01:32 PM,11/25/2017
Off,12:01:33 PM,11/25/2017
On,12:01:45 PM,11/25/2017
Off,12:01:46 PM,11/25/2017
On,12:01:47 PM,11/25/2017
Off,12:01:48 PM,11/25/2017
On,12:01:49 PM,11/25/2017
Off,12:03:10 PM,11/25/2017
On,12:04:00 PM,11/25/2017
Off,12:16:56 PM,11/25/2017
On,12:18:08 PM,11/25/2017
Off,12:18:34 PM,11/25/2017
On,12:20:28 PM,11/25/2017
Off,12:23:32 PM,11/25/2017
Off,12:44:01 PM,11/25/2017
Off,6:09:13 PM,11/25/2017
Off,6:22:15 PM,11/22/2017
On,6:22:16 PM,11/22/2017
Off,6:22:43 PM,11/22/2017
On,6:22:44 PM,11/22/2017
Off,6:22:48 PM,11/22/2017
On,6:22:49 PM,11/22/2017
Off,6:29:02 PM,11/22/2017
Off,6:29:03 PM,11/22/2017
On,6:29:03 PM,11/22/2017
On,6:29:03 PM,11/22/2017
Off,6:41:08 PM,11/22/2017
Off,6:41:08 PM,11/22/2017
On,6:41:08 PM,11/22/2017
On,6:41:08 PM,11/22/2017
Off,6:41:16 PM,11/22/2017
Off,6:41:16 PM,11/22/2017
On,6:41:17 PM,11/22/2017
On,6:41:17 PM,11/22/2017
Off,6:41:27 PM,11/22/2017
Off,6:41:27 PM,11/22/2017
Off,6:43:37 PM,11/22/2017
On,6:43:37 PM,11/22/2017
Off,6:43:54 PM,11/22/2017
On,6:44:21 PM,11/22/2017
Off,11:28:52 PM,11/22/2017
On,11:28:52 PM,11/22/2017
Off,11:29:36 PM,11/22/2017
On,11:29:36 PM,11/22/2017
Off,11:29:59 PM,11/22/2017
On,11:30:03 PM,11/22/2017
Off,11:30:15 PM,11/22/2017
On,11:30:17 PM,11/22/2017
Off,11:30:40 PM,11/22/2017
On,11:31:07 PM,11/22/2017
Off,11:31:19 PM,11/22/2017
On,11:32:43 PM,11/22/2017
Off,11:35:04 PM,11/22/2017
On,11:35:12 PM,11/22/2017
Off,11:49:57 PM,11/22/2017
On,11:49:57 PM,11/22/2017
Off,11:50:08 PM,11/22/2017
On,11:50:55 PM,11/22/2017
Off,3:22:47 PM,11/23/2017
Off,3:44:50 PM,11/23/2017
On,3:44:50 PM,11/23/2017
Off,3:45:04 PM,11/23/2017
On,3:45:04 PM,11/23/2017
Off,3:45:30 PM,11/23/2017
On,3:45:31 PM,11/23/2017
Off,3:45:33 PM,11/23/2017
On,3:45:34 PM,11/23/2017
Off,3:45:58 PM,11/23/2017
On,3:46:41 PM,11/23/2017
Off,3:46:47 PM,11/23/2017
Off,11:55:46 PM,11/24/2017
Off,2:41:23 AM,11/30/2017
On,2:41:26 AM,11/30/2017
