Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,Lable
6.176,5.956,3.224,1.350357,-0.028900146,0.8634033,-30.25,-12.9375,-36.4375,upstairs
5.961,27.856,0.237,0.73928833,0.8257599,-0.5431061,-23.625,-27.375,-33.5,upstairs
2.654,9.129,0.19,-0.06713867,-0.2428894,0.27983093,-24.875,-30.625,-30.1875,upstairs
0.72,7.794,4.865,-1.5603943,0.065979004,-0.30726624,-14.875,-14.3125,-43.8125,upstairs
1.4,8.32,3.602,0.7645416,-0.2823639,-0.17408752,-3.875,-2.375,-47.3125,upstairs
2.108,9.784,-0.417,0.09140015,-0.18899536,-0.1574707,-14.25,-25.9375,-34.4375,upstairs
1.012,7.143,5.842,-0.93891907,-0.08494568,0.5077667,-12,-6.4375,-44.1875,upstairs
1.515,9.244,2.415,0.9404602,-0.46087646,-0.2326355,-8.3125,-11.125,-44.25,upstairs
0.811,13.24,-1.284,0.16403198,-0.2509613,-0.29849243,-13.625,-29.25,-31.875,upstairs
1.5,6.276,6.641,-0.9269104,0.49824524,0.5187378,-0.5,5,-47,upstairs
1.519,9.569,-0.503,0.88912964,-0.36627197,-0.22467041,-11.875,-27,-36.875,upstairs
0.567,9.004,2.86,-0.86157227,-0.2063446,-0.28903198,-8.5,-22,-41.625,upstairs
1.328,7.827,7.454,0.0901947,0.07774353,0.009857178,4.25,-0.875,-49.25,upstairs
0.988,9.593,-0.494,0.38716125,0.4624176,0.009979248,5.125,-34.8125,-32.0625,upstairs
1.548,7.961,4.77,-1.4141388,0.31500244,0.428833,19,-16.875,-42.0625,upstairs
1.414,8.531,3.827,0.8530121,-0.5335846,-0.3416748,28.375,-30.125,-33.6875,upstairs
0.859,10.048,-0.996,0.21795654,0.049362183,-0.16619873,31,-35.625,-6.5625,upstairs
0.223,8.535,4.918,-1.121872,0.38157654,0.14019775,30.3125,-30.4375,-10.8125,upstairs
1.151,9.559,-0.456,1.146286,-0.217453,-0.51753235,27.3125,-32.875,0.4375,upstairs
0.281,9.732,-0.173,0.042388916,-0.17126465,-0.3039856,29.5,-31.875,4.75,upstairs
0.515,6.511,7.052,-0.06750488,0.018569946,0.1187439,22.4375,-35.5,-16,upstairs
1.974,10.024,0.167,0.55726624,0.15455627,0.15570068,20.5,-36,6.5625,upstairs
1.725,9.043,2.448,-0.9544525,-0.42588806,-0.13070679,22.625,-37.4375,-7.1875,upstairs
0.849,8.32,4.109,0.49264526,-0.2998352,-0.39482117,17.5,-41,-14.125,upstairs
-1.968,14.293,-0.499,0.31704712,-0.35739136,-0.49092102,25.8125,-40.875,8.25,upstairs
1.4,7.554,7.631,-0.16770935,-0.38528442,0.3569641,18.5,-42.5,-24.125,upstairs
0.955,9.335,0.726,0.6805115,0.17266846,-0.15213013,23.5625,-49.5625,5.3125,upstairs
0.998,7.473,5.674,-0.9885559,-0.63401794,0.008377075,25.5,-46.625,-19.1875,upstairs
-0.887,10.679,3.281,1.7147217,-1.1569824,-0.7982025,26.375,-47.1875,-13.875,upstairs
2.481,9.387,0.056,-0.011474609,0.042892456,0.003540039,16.75,-52.3125,4.9375,upstairs
0.921,9.32,0.271,-0.20895386,0.015594482,0.28588867,25.125,-49.3125,11.8125,upstairs
-0.791,3.338,6.607,-2.1381683,0.8662567,0.40733337,26.125,-41.75,-25.8125,upstairs
1.022,8.444,1.348,0.81762695,-0.58488464,-0.062332153,23.8125,-53.75,-7.4375,upstairs
-0.107,10.024,2.223,-0.17100525,0.29988098,-0.64341736,28.4375,-53.75,1.375,upstairs
1.888,8.387,7.21,-0.39141846,0.31272888,0.5587158,20.625,-43.4375,-37.0625,upstairs
-0.978,11.086,2.161,0.11373901,-0.37445068,-0.55822754,2.75,-58.6875,-16.4375,upstairs
4.759,10.364,3.348,-0.94241333,-0.8393402,-0.38970947,-10.3125,-52.5625,-30.8125,upstairs
6.674,10.641,2.032,0.012329102,0.46879578,0.98783875,-33.375,-39.5625,-36,upstairs
5.769,7.975,2.525,-1.6157379,-1.2957764,-0.41116333,-54.4375,-29.3125,-24.1875,upstairs
1.122,4.051,8.617,0.07951355,1.3426514,0.024810791,26.5,-30.5625,-54.25,upstairs
1.175,9.65,1.573,0.8279114,0.23194885,-1.1179657,-30.5625,-26.4375,-23.5625,upstairs
0.022,10.383,0.066,-0.071762085,-0.13858032,-0.45999146,-19.125,-32.9375,-26.25,upstairs
0.061,4.989,6.636,-1.6395874,1.5981293,0.791687,2.75,1.8125,-49.375,upstairs
0.715,9.492,2.669,1.215683,-0.5702667,-0.37644958,-1.6875,-9.6875,-47.4375,upstairs
2.395,9.421,-0.609,0.17097473,-0.050476074,-0.024246216,-10.625,-31.375,-30.625,upstairs
0.835,6.583,5.727,-1.0701904,0.5196228,0.6728821,1.25,0.125,-46.25,upstairs
1.567,8.669,6.89,0.29275513,-0.123428345,0.05168152,9.5,0.8125,-45.8125,upstairs
1.73,10.134,-0.551,0.16557312,-0.46243286,0.029815674,-11.0625,-25.625,-32.625,upstairs
-0.518,9.363,1.697,-0.58477783,0.094680786,-0.26176453,-4.0625,-21.125,-37.8125,upstairs
1.854,7.176,6.698,0.07116699,-0.03050232,0.17988586,-0.375,1.375,-46.1875,upstairs
1.074,9.794,-0.034,0.55303955,-0.12586975,-0.04058838,-12.625,-25.8125,-32.9375,upstairs
-0.308,9.985,-0.015,-0.2680359,0.13394165,-0.48405457,-8.3125,-28.3125,-33,upstairs
