Date,Time,Known Location,City,Accuracy
11/25/2017,12:01:32 AM,Street 14,Islamabad,21.67399979
11/25/2017,12:01:52 AM,Street 14,Islamabad,20.89999962
11/25/2017,12:02:12 AM,Street 14,Islamabad,20.89699936
11/25/2017,12:04:34 AM,Street 14,Islamabad,21.78199959
11/25/2017,12:10:36 AM,Street 14,Islamabad,20
11/25/2017,12:12:36 AM,Street 14,Islamabad,21.46699905
11/25/2017,12:15:40 AM,Street 14,Islamabad,21.8239994
11/25/2017,12:21:40 AM,Street 14,Islamabad,32.09999847
11/25/2017,12:25:36 AM,Street 14,Islamabad,21.15099907
11/25/2017,12:28:55 AM,Street 14,Islamabad,21.91399956
11/25/2017,12:29:15 AM,Street 14,Islamabad,21.88199997
11/25/2017,12:29:35 AM,Street 14,Islamabad,21.9489994
11/25/2017,12:30:00 AM,Street 14,Islamabad,34.40000153
11/25/2017,12:36:01 AM,Street 14,Islamabad,21.625
11/25/2017,12:42:01 AM,Street 14,Islamabad,21.73200035
11/25/2017,12:48:27 AM,Street 14,Islamabad,20.10000038
11/25/2017,12:55:37 AM,Street 14,Islamabad,21.56500053
11/25/2017,12:58:32 AM,Street 14,Islamabad,21.38800049
11/25/2017,1:00:41 AM,Street 14,Islamabad,21.78700066
11/25/2017,1:04:03 AM,Street 14,Islamabad,21.37299919
11/25/2017,1:08:01 AM,Street 14,Islamabad,21.29599953
11/25/2017,1:14:15 AM,Street 14,Islamabad,21.6079998
11/25/2017,1:15:30 AM,Street 14,Islamabad,21.74799919
11/25/2017,1:13:56 PM,Street 14,Islamabad,21.7329998
11/25/2017,1:14:16 PM,Street 14,Islamabad,21.17900085
11/25/2017,1:14:36 PM,Street 14,Islamabad,21.5189991
11/25/2017,1:19:11 PM,Street 14,Islamabad,26.39999962
11/25/2017,1:25:26 PM,Street 14,Islamabad,21.16900063
11/25/2017,1:31:36 PM,Street 14,Islamabad,21.22200012
11/25/2017,5:46:11 PM,Service Road North,Islamabad,1399.999023
11/25/2017,5:48:24 PM,Street 14,Islamabad,21.83699989
11/25/2017,5:54:35 PM,Street 14,Islamabad,22.54000092
11/25/2017,6:00:34 PM,Street 14,Islamabad,21.50600052
11/25/2017,6:12:37 PM,Street 14,Islamabad,21.45000076
11/25/2017,6:18:38 PM,Street 14,Islamabad,20
