Mobile State,Time,Date
0,12:30:28 AM,11/25/2017
1,12:45:29 AM,11/25/2017
0,12:45:33 AM,11/25/2017
1,12:45:33 AM,11/25/2017
0,12:45:46 AM,11/25/2017
1,12:45:49 AM,11/25/2017
0,12:46:05 AM,11/25/2017
1,12:53:07 AM,11/25/2017
0,1:17:25 PM,11/25/2017
1,1:25:00 PM,11/25/2017
0,1:25:16 PM,11/25/2017
1,1:26:32 PM,11/25/2017
0,1:28:19 PM,11/25/2017
1,1:29:01 PM,11/25/2017
0,1:29:04 PM,11/25/2017
1,1:30:59 PM,11/25/2017
0,11:34:57 AM,11/25/2017
1,11:35:28 AM,11/25/2017
0,11:36:32 AM,11/25/2017
1,11:36:32 AM,11/25/2017
0,11:42:18 AM,11/25/2017
0,11:58:03 AM,11/25/2017
1,11:58:06 AM,11/25/2017
0,11:58:59 AM,11/25/2017
1,11:59:00 AM,11/25/2017
0,11:59:03 AM,11/25/2017
1,11:59:05 AM,11/25/2017
0,11:59:12 AM,11/25/2017
1,11:59:12 AM,11/25/2017
0,11:59:19 AM,11/25/2017
1,11:59:20 AM,11/25/2017
0,11:59:21 AM,11/25/2017
1,11:59:22 AM,11/25/2017
0,11:59:24 AM,11/25/2017
1,11:59:30 AM,11/25/2017
0,11:59:31 AM,11/25/2017
1,11:59:32 AM,11/25/2017
0,11:59:33 AM,11/25/2017
1,11:59:55 AM,11/25/2017
0,11:59:57 AM,11/25/2017
1,12:00:03 PM,11/25/2017
0,12:00:05 PM,11/25/2017
1,12:00:06 PM,11/25/2017
0,12:00:07 PM,11/25/2017
1,12:00:08 PM,11/25/2017
0,12:00:08 PM,11/25/2017
1,12:00:18 PM,11/25/2017
0,12:00:19 PM,11/25/2017
1,12:00:19 PM,11/25/2017
0,12:00:27 PM,11/25/2017
1,12:00:32 PM,11/25/2017
0,12:00:33 PM,11/25/2017
1,12:00:34 PM,11/25/2017
0,12:00:35 PM,11/25/2017
1,12:00:58 PM,11/25/2017
0,12:00:59 PM,11/25/2017
1,12:01:01 PM,11/25/2017
0,12:01:02 PM,11/25/2017
1,12:01:09 PM,11/25/2017
0,12:01:09 PM,11/25/2017
1,12:01:17 PM,11/25/2017
0,12:01:17 PM,11/25/2017
1,12:01:25 PM,11/25/2017
0,12:01:25 PM,11/25/2017
1,12:01:25 PM,11/25/2017
0,12:01:27 PM,11/25/2017
1,12:01:32 PM,11/25/2017
0,12:01:33 PM,11/25/2017
1,12:01:45 PM,11/25/2017
0,12:01:46 PM,11/25/2017
1,12:01:47 PM,11/25/2017
0,12:01:48 PM,11/25/2017
1,12:01:49 PM,11/25/2017
0,12:03:10 PM,11/25/2017
1,12:04:00 PM,11/25/2017
0,12:16:56 PM,11/25/2017
1,12:18:08 PM,11/25/2017
0,12:18:34 PM,11/25/2017
1,12:20:28 PM,11/25/2017
0,12:23:32 PM,11/25/2017
0,12:44:01 PM,11/25/2017
0,6:09:13 PM,11/25/2017
